slug,name,alternate_name,group,latitude_deg,longitude_deg,area_mi2,area_km2,status_1570,confidence,note,rescue_date,rescue_title,rescue_summary,rescue_source_title,rescue_source_url
monito,Monito,,Núcleo de Puerto Rico,18.1589,-67.9478,0.057,0.148,Extremo occidental usado por el video y por este cálculo,medio,Se conserva como punto de partida geográfico del recorrido Monito–Dominica.,,,,,
mona,Mona,,Núcleo de Puerto Rico,18.089,-67.8925,22.01,57.006,Núcleo insular de Puerto Rico,medio,Unidad moderna incluida para representar físicamente el núcleo occidental del archipiélago puertorriqueño.,,,,,
desecheo,Desecheo,,Núcleo de Puerto Rico,18.3838,-67.4806,0.589,1.526,Núcleo insular de Puerto Rico,medio,Islote del entorno inmediato de Puerto Rico; su área moderna se usa como proxy físico.,,,,,
puerto-rico,Puerto Rico,,Núcleo de Puerto Rico,18.2,-66.45,3424.32,8868.948,Sede del obispado de San Juan,alto,Centro de la jurisdicción eclesiástica que el video resume y que las fuentes históricas documentan.,,,,,
vieques,Vieques,,Núcleo de Puerto Rico,18.1234,-65.4415,50.19,129.992,Núcleo insular de Puerto Rico,medio,Se representa como parte del núcleo geográfico puertorriqueño para el cálculo de superficie.,1647 · 1718,Vieques fue atendida militarmente desde Puerto Rico,"En 1647 una expedición salida de Puerto Rico actuó contra el establecimiento inglés asociado a John Pinard; otras fuentes registran también la expulsión de franceses. En 1718 una nueva expedición de tropas, milicias y corsarios procedentes de Puerto Rico volvió a desalojar un asentamiento inglés. Es uno de los casos mejor documentados del patrón que el video resume como «rescates».","Historia geográfica, civil y natural de Puerto Rico · Library of Congress",https://tile.loc.gov/storage-services/service/gdc/lhbpr/06061/06061.pdf
culebra,Culebra,,Núcleo de Puerto Rico,18.3153,-65.2891,10.81,27.998,Núcleo insular de Puerto Rico,medio,Unidad moderna próxima al arco de las Vírgenes.,,,,,
santa-cruz,Santa Cruz,St. Croix,Arco oriental,17.733,-64.7683,84,217.559,Nombrada en la documentación de anexión de 1519,alto,PARES registra Santa Cruz entre las islas cuya anexión al obispado de San Juan se solicitó en 1519.,1647,Santa Cruz aparece en las operaciones de 1647,"Una expedición desde Puerto Rico desalojó un establecimiento extranjero en Santa Cruz en 1647. La documentación no es perfectamente uniforme sobre la nacionalidad del grupo expulsado: la ficha archivística del mapa de 1647 habla de ingleses, mientras síntesis puertorriqueñas posteriores lo describen como francés. El sitio conserva el hecho de la expedición y señala la discrepancia.",Mapa de la Isla de Santa Cruz · registro archivístico de 1647,https://greatercaribbeanmaps.org/maps/mapa-de-la-isla-de-santa-cruz-islas-virgenes-de-los-estados-unidos-de-america-2/
islas-virgenes,Islas Vírgenes,,Arco oriental,18.43,-64.57,99.46,257.600,Grupo nombrado en la documentación de 1519,alto,"Se cuenta como una sola unidad narrativa, siguiendo la forma agrupada de las fuentes; el área suma las principales islas modernas del grupo usadas en la versión técnica.",1646,Tórtola fue atacada desde Puerto Rico,"Fuentes puertorriqueñas registran que en 1646 una expedición procedente de Puerto Rico expulsó a los holandeses de Tórtola. Como Tórtola está comprendida aquí dentro de la unidad narrativa «Islas Vírgenes», el episodio se presenta en esta ficha sin convertir Tórtola en una unidad adicional del conteo de 22.",Boletín de la Academia Puertorriqueña de la Historia · 1976,https://academiaprhistoria.org/wp-content/uploads/2019/11/1976-01-01.pdf
anguilla,Anguilla,,Arco oriental,18.2206,-63.0686,35.14,91.012,Normalización geográfica moderna,condicional,Sirve para representar la continuidad física del arco. La equivalencia exacta entre algunos topónimos del siglo XVI y nombres modernos no siempre es unívoca.,,,,,
sombrero,Sombrero,,Arco oriental,18.5892,-63.4253,0.147,0.381,Topónimo documentado en fuentes del siglo XVI,alto,López de Velasco describe Sombrero en su geografía de 1571–1574. Su superficie terrestre moderna es aproximadamente 0.38 km².,,,,,
